Item Name,Total,Gear Level 1,Gear Level 2,Gear Level 3,Gear Level 4,Gear Level 5,Gear Level 6,Gear Level 7,Gear Level 8,Gear Level 9,Gear Level 10,Gear Level 11,Gear Level 12
Mk 1 Fabritech Data Pad,1,1,"","","","","","","","","","",""
Mk 1 Arakyd Droid Caller,5,1,1,"",2,"",1,"","","","","",""
Mk 1 Nubian Security Scanner,6,2,1,"",2,1,"","","","","","",""
Mk 1 BlasTech Weapon Mod,1,1,"","","","","","","","","","",""
Mk 1 BAW Armor Mod,18,1,1,1,2,4,1,"","","","",8,""
Mk 1 Chiewab Hypo Syringe Prototype,2,"",1,"","",1,"","","","","","",""
Mk 1 Neuro-Saav Electrobinoculars,3,"",1,1,"",1,"","","","","","",""
Mk 1 A/KT Stun Gun,3,"",1,"",1,"",1,"","","","","",""
Mk 1 Merr-Sonn Shield Generator,4,"","",1,"","","","",2,1,"","",""
Mk 1 CEC Fusion Furnace,13,"","",2,1,2,4,"","","","",4,""
Mk 1 BioTech Implant,1,"","",1,"","","","","","","","",""
Mk 1 Sienar Holo Projector,5,"","","",1,"",1,1,1,1,"","",""
Mk 1 Czerka Stun Cuffs,3,"","","",1,1,"","",1,"","","",""
Mk 1 Zaltin Bacta Gel Prototype Salvage,25,"","","","",5,"","","",20,"","",""
Mk 1 Chedak Comlink Salvage,5,"","","","","","","",5,"","","",""
Mk 1 Carbanti Sensor Array Prototype Salvage,5,"","","","","","","","",5,"","",""
Mk 1 Athakam Medpac Salvage,5,"","","","","","","","",5,"","",""
Mk 2 TaggeCo Holo Lens,11,"",2,"",1,1,"",1,2,4,"","",""
Mk 2 SoroSuub Keypad Prototype,9,"",1,1,1,2,"","","","","",4,""
Mk 2 Chiewab Hypo Syringe,10,"",1,1,2,2,"","","","","",4,""
Mk 2 Fabritech Data Pad,5,"",1,"","","","",1,"",1,1,1,""
Mk 2 BlasTech Weapon Mod,2,"","",1,"","","",1,"","","","",""
Mk 2 Merr-Sonn Shield Generator,3,"","",1,"","",2,"","","","","",""
Mk 2 BAW Armor Mod Prototype,1,"","",1,"","","","","","","","",""
Mk 2 Neuro-Saav Electrobinoculars Prototype,8,"","","",1,2,1,"","","","",4,""
Mk 2 CEC Fusion Furnace,3,"","","","","",1,1,1,"","","",""
Mk 3 BlasTech Weapon Mod,10,"","",1,1,"",2,3,1,2,"","",""
Mk 3 BioTech Implant,6,"","",1,"","",2,2,"",1,"","",""
Mk 3 Neuro-Saav Electrobinoculars,5,"","","",1,"",2,1,"",1,"","",""
Mk 3 Arakyd Droid Caller Salvage,5,"","","","","",5,"","","","","",""
Mk 3 BAW Armor Mod,4,"","","","","",1,"","",1,1,1,""
Mk 3 Sienar Holo Projector Salvage,80,"","","","","","",40,20,20,"","",""
Mk 3 Carbanti Sensor Array Salvage,200,"","","","","","","",50,50,50,50,""
Mk 3 Czerka Stun Cuffs Salvage,50,"","","","","","","","","","",50,""
Mk 4 BAW Armor Mod Salvage,45,"","",5,5,15,5,10,5,"","","",""
Mk 4 Fabritech Data Pad Prototype,3,"","","",1,"","",1,1,"","","",""
Mk 4 BlasTech Weapon Mod Prototype,1,"","","",1,"","","","","","","",""
Mk 4 Loronar Power Cell Prototype,1,"","","","",1,"","","","","","",""
Mk 4 Chiewab Hypo Syringe Prototype Salvage,20,"","","","","",20,"","","","","",""
Mk 4 SoroSuub Keypad Salvage,20,"","","","","","",20,"","","","",""
Mk 4 Merr-Sonn Thermal Detonator Prototype Salvage,5,"","","","","","","",5,"","","",""
Mk 4 TaggeCo Holo Lens Salvage,5,"","","","","","","",5,"","","",""
Mk 4 A/KT Stun Gun Salvage,40,"","","","","","","","","",20,20,""
Mk 4 Arakyd Droid Caller Salvage,40,"","","","","","","","","",20,20,""
Mk 4 Chedak Comlink Prototype Salvage,50,"","","","","","","","","","",50,""
Mk 5 BAW Armor Mod Salvage,5,"","","",5,"","","","","","","",""
Mk 5 BlasTech Weapon Mod Prototype,7,"","","",1,2,"","","","","",4,""
Mk 5 Loronar Power Cell Salvage,30,"","","","",5,5,"","",20,"","",""
Mk 5 Neuro-Saav Electrobinoculars Salvage,10,"","","","",5,5,"","","","","",""
Mk 5 TaggeCo Holo Lens Prototype Salvage,5,"","","","","","",5,"","","","",""
Mk 5 A/KT Stun Gun Prototype Salvage,50,"","","","","","","",50,"","","",""
Mk 5 Merr-Sonn Thermal Detonator Prototype Salvage,150,"","","","","","","","",50,50,50,""
Mk 5 Arakyd Droid Caller Salvage,50,"","","","","","","","",50,"","",""
Mk 5 SoroSuub Keypad Salvage,60,"","","","","","","","","",40,20,""
Mk 5 Athakam Medpac Component,50,"","","","","","","","","","",50,""
Mk 5 Athakam Medpac Salvage,60,"","","","","","","","","","",60,""
Mk 6 TaggeCo Holo Lens Prototype Salvage,5,"","","","",5,"","","","","","",""
Mk 6 BioTech Implant Prototype Salvage,20,"","","","","",20,"","","","","",""
Mk 6 BlasTech Weapon Mod Prototype,1,"","","","","",1,"","","","","",""
Mk 6 Nubian Security Scanner Prototype Salvage,20,"","","","","","",20,"","","","",""
Mk 6 Fabritech Data Pad Salvage,5,"","","","","","","","",5,"","",""
Mk 6 Arakyd Droid Caller Salvage,50,"","","","","","","","","","",50,""
Mk 7 Merr-Sonn Shield Generator Salvage,100,"","","","","","","","","",50,50,""
Mk 7 CEC Fusion Furnace Salvage,40,"","","","","","","","","","","",40
Mk 7 Merr-Sonn Thermal Detonator Salvage,40,"","","","","","","","","","","",40
Mk 8 BioTech Implant Component,150,"","","","","","","","","",100,50,""
Mk 8 BioTech Implant Salvage,180,"","","","","","","","","",120,60,""
Mk 8 Nubian Design Tech Salvage,40,"","","","","","","","","","","",40
Mk 9 BioTech Implant Salvage,50,"","","","","","","","","","",50,""
Mk 11 BlasTech Weapon Mod Salvage,50,"","","","","","","","","",50,"",""
Mk 12 ArmaTek Tactical Data Prototype Salvage,30,"","","","","","","","","","","",30
Mk 12 ArmaTek Visor Prototype Salvage,30,"","","","","","","","","","","",30
Mk 12 ArmaTek Cybernetics Prototype Salvage,30,"","","","","","","","","","","",30
