Item Name,Total,Gear Level 1,Gear Level 2,Gear Level 3,Gear Level 4,Gear Level 5,Gear Level 6,Gear Level 7,Gear Level 8,Gear Level 9,Gear Level 10,Gear Level 11,Gear Level 12
Mk 1 BioTech Implant,36,2,1,"",1,"",2,4,2,12,12,"",""
Mk 1 Neuro-Saav Electrobinoculars,37,2,1,1,1,"",2,4,2,12,12,"",""
Mk 1 A/KT Stun Gun,3,2,"",1,"","","","","","","","",""
Mk 1 Czerka Stun Cuffs,4,"",1,"","",2,"","","","","",1,""
Mk 1 Nubian Design Tech Prototype,2,"",2,"","","","","","","","","",""
Mk 1 Arakyd Droid Caller,4,"",2,1,"","","","","","","",1,""
Mk 1 CEC Fusion Furnace,24,"",2,"",4,2,1,2,4,9,"","",""
Mk 1 Merr-Sonn Shield Generator,1,"","",1,"","","","","","","","",""
Mk 1 Loronar Power Cell,1,"","",1,"","","","","","","","",""
Mk 1 BAW Armor Mod,30,"","","",2,"","",4,8,16,"","",""
Mk 1 Sienar Holo Projector,4,"","","",1,"","",1,1,"","",1,""
Mk 1 Zaltin Bacta Gel Prototype Salvage,55,"","","","",5,"",10,30,10,"","",""
Mk 2 BAW Armor Mod Prototype,34,"",1,"",1,"",2,4,2,12,12,"",""
Mk 2 Arakyd Droid Caller,1,"","",1,"","","","","","","","",""
Mk 2 Nubian Security Scanner Prototype,1,"","",1,"","","","","","","","",""
Mk 2 Merr-Sonn Shield Generator,3,"","",1,"",1,1,"","","","","",""
Mk 2 SoroSuub Keypad Prototype,15,"","","",1,"","",2,4,8,"","",""
Mk 2 Chiewab Hypo Syringe,15,"","","",1,"","",2,4,8,"","",""
Mk 2 Neuro-Saav Electrobinoculars Prototype,15,"","","",1,"","",2,4,8,"","",""
Mk 2 Fabritech Data Pad,1,"","","","",1,"","","","","","",""
Mk 2 TaggeCo Holo Lens,11,"","","","",1,"",2,6,2,"","",""
Mk 2 Zaltin Bacta Gel Prototype Salvage,20,"","","","","","","","","","",20,""
Mk 3 Neuro-Saav Electrobinoculars,7,"",2,1,1,1,"",1,1,"","","",""
Mk 3 BlasTech Weapon Mod,7,"","",1,1,"",1,1,2,"","",1,""
Mk 3 Chiewab Hypo Syringe Prototype Salvage,35,"","","",15,10,5,"","",5,"","",""
Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,165,"","","",5,"",10,20,10,60,60,"",""
Mk 3 Sienar Holo Projector Salvage,40,"","","","","","","",20,20,"","",""
Mk 3 BioTech Implant,2,"","","","","","","",1,"","",1,""
Mk 3 Loronar Power Cell,1,"","","","","","","","","","",1,""
Mk 3 Carbanti Sensor Array Salvage,50,"","","","","","","","","","",50,""
Mk 4 A/KT Stun Gun Salvage,100,"","","","","",60,20,"","","",20,""
Mk 4 SoroSuub Keypad Salvage,20,"","","","","",20,"","","","","",""
Mk 4 Arakyd Droid Caller Salvage,20,"","","","","","","","","","",20,""
Mk 4 Zaltin Bacta Gel Salvage,50,"","","","","","","","","","",50,""
Mk 5 Loronar Power Cell Salvage,270,"","",5,20,25,15,30,40,75,60,"",""
Mk 5 BlasTech Weapon Mod Prototype,15,"","","",1,"","",2,4,8,"","",""
Mk 5 Nubian Design Tech Prototype Salvage,20,"","","","","",20,"","","","","",""
Mk 5 Arakyd Droid Caller Salvage,50,"","","","","","","",50,"","","",""
Mk 5 Athakam Medpac Component,50,"","","","","","","","","",50,"",""
Mk 5 Athakam Medpac Salvage,60,"","","","","","","","","",60,"",""
Mk 5 SoroSuub Keypad Salvage,20,"","","","","","","","","","",20,""
Mk 5 A/KT Stun Gun Prototype Salvage,50,"","","","","","","","","","",50,""
Mk 6 CEC Fusion Furnace Salvage,100,"","","","","","","","","",50,50,""
Mk 6 Arakyd Droid Caller Salvage,100,"","","","","","","","","","",100,""
Mk 6 Athakam Medpac Salvage,40,"","","","","","","","","","","",40
Mk 6 Carbanti Sensor Array Salvage,40,"","","","","","","","","","","",40
Mk 7 BAW Armor Mod Prototype Salvage,5,"","","","",5,"","","","","","",""
Mk 7 Nubian Security Scanner Salvage,50,"","","","","","","","",50,"","",""
Mk 7 Merr-Sonn Shield Generator Salvage,50,"","","","","","","","","","",50,""
MK 8 Neuro-Saav Electrobinoculars Salvage,200,"","","","","","","","","",100,100,""
MK 8 Neuro-Saav Electrobinoculars Component,200,"","","","","","","","","",100,100,""
Mk 8 BioTech Implant Component,50,"","","","","","","","","","",50,""
Mk 8 BioTech Implant Salvage,60,"","","","","","","","","","",60,""
Mk 8 Nubian Design Tech Salvage,40,"","","","","","","","","","","",40
Mk 9 BioTech Implant Salvage,50,"","","","","","","","","","",50,""
Mk 10 TaggeCo Holo Lens Salvage,50,"","","","","","","","","",50,"",""
Mk 12 ArmaTek Medpac Prototype Salvage,30,"","","","","","","","","","","",30
Mk 12 ArmaTek Tactical Data Prototype Salvage,30,"","","","","","","","","","","",30
Mk 12 ArmaTek Wrist Band Prototype Salvage,30,"","","","","","","","","","","",30
