Item Name,Total,Gear Level 1,Gear Level 2,Gear Level 3,Gear Level 4,Gear Level 5,Gear Level 6,Gear Level 7,Gear Level 8,Gear Level 9,Gear Level 10,Gear Level 11,Gear Level 12
Mk 1 BioTech Implant,21,1,1,"","","","",1,2,12,4,"",""
Mk 1 Neuro-Saav Electrobinoculars,23,2,1,1,"","","",1,2,12,4,"",""
Mk 1 Arakyd Droid Caller,2,1,"","","","","","",1,"","","",""
Mk 1 A/KT Stun Gun,2,2,"","","","","","","","","","",""
Mk 1 TaggeCo Holo Lens,1,"",1,"","","","","","","","","",""
Mk 1 BAW Armor Mod,38,"",3,"","","",1,1,"",1,24,8,""
Mk 1 CEC Fusion Furnace,24,"",1,"","",1,3,"","",3,12,4,""
Mk 1 Czerka Stun Cuffs,5,"",1,1,1,2,"","","","","","",""
Mk 1 Merr-Sonn Shield Generator,2,"",1,"",1,"","","","","","","",""
Mk 1 Nubian Security Scanner,1,"","",1,"","","","","","","","",""
Mk 1 Chiewab Hypo Syringe Prototype,1,"","",1,"","","","","","","","",""
Mk 1 Athakam Medpac Salvage,15,"","",5,"","",5,5,"","","","",""
Mk 1 Chedak Comlink Salvage,10,"","",5,"","","",5,"","","","",""
Mk 1 Carbanti Sensor Array Prototype Salvage,5,"","","",5,"","","","","","","",""
Mk 1 Zaltin Bacta Gel Prototype Salvage,30,"","","","","","",10,20,"","","",""
Mk 1 Sienar Holo Projector,2,"","","","","","","","","",1,1,""
Mk 2 BAW Armor Mod Prototype,20,"",1,"","","","",1,2,12,4,"",""
Mk 2 Neuro-Saav Electrobinoculars Prototype,19,"",1,"","","",1,"","",1,12,4,""
Mk 2 BlasTech Weapon Mod,2,"","",1,1,"","","","","","","",""
Mk 2 Chiewab Hypo Syringe,19,"","","",2,"","",1,"","",12,4,""
Mk 2 Fabritech Data Pad,2,"","","","",1,"","","","","",1,""
Mk 2 Merr-Sonn Shield Generator,4,"","","","",1,1,"","",2,"","",""
Mk 2 TaggeCo Holo Lens,6,"","","","","","",2,4,"","","",""
Mk 2 CEC Fusion Furnace,1,"","","","","","",1,"","","","",""
Mk 2 SoroSuub Keypad Prototype,17,"","","","","","",1,"","",12,4,""
Mk 3 BlasTech Weapon Mod,6,"",1,"","","",1,1,1,"",1,1,""
Mk 3 TaggeCo Holo Lens Prototype,1,"",1,"","","","","","","","","",""
Mk 3 BAW Armor Mod,3,"","",1,1,"","","","","","",1,""
Mk 3 BioTech Implant,6,"","","",1,"",1,1,"",1,1,1,""
Mk 3 Neuro-Saav Electrobinoculars,2,"","","","",2,"","","","","","",""
Mk 3 Arakyd Droid Caller Salvage,5,"","","","",5,"","","","","","",""
Mk 3 Chiewab Hypo Syringe Prototype Salvage,5,"","","","",5,"","","","","","",""
Mk 3 Sienar Holo Projector Salvage,40,"","","","","",20,"",20,"","","",""
Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,95,"","","","","","",5,10,60,20,"",""
Mk 3 Czerka Stun Cuffs Salvage,50,"","","","","","","","",50,"","",""
Mk 3 Carbanti Sensor Array Salvage,150,"","","","","","","","","",50,100,""
Mk 4 BioTech Implant Prototype,1,"","",1,"","","","","","","","",""
Mk 4 Loronar Power Cell Prototype,1,"","",1,"","","","","","","","",""
Mk 4 BAW Armor Mod Salvage,5,"","","","",5,"","","","","","",""
Mk 4 A/KT Stun Gun Salvage,60,"","","","","",20,"",20,"","",20,""
Mk 4 SoroSuub Keypad Salvage,60,"","","","","",20,20,"",20,"","",""
Mk 4 Chiewab Hypo Syringe Prototype Salvage,20,"","","","","","",20,"","","","",""
Mk 4 Arakyd Droid Caller Salvage,40,"","","","","","","",20,"","",20,""
Mk 4 Zaltin Bacta Gel Salvage,50,"","","","","","","","","","",50,""
Mk 5 Loronar Power Cell Salvage,160,"","",5,"",25,"",15,35,60,20,"",""
Mk 5 BAW Armor Mod Salvage,10,"","","",5,"",5,"","","","","",""
Mk 5 Nubian Design Tech Prototype Salvage,20,"","","","","",20,"","","","","",""
Mk 5 Neuro-Saav Electrobinoculars Salvage,15,"","","","","",10,5,"","","","",""
Mk 5 Chiewab Hypo Syringe Prototype Salvage,20,"","","","","","",20,"","","","",""
Mk 5 SoroSuub Keypad Salvage,40,"","","","","","",20,"","","",20,""
Mk 5 Arakyd Droid Caller Salvage,50,"","","","","","","",50,"","","",""
