Item Name,Total,Gear Level 1,Gear Level 2,Gear Level 3,Gear Level 4,Gear Level 5,Gear Level 6,Gear Level 7,Gear Level 8,Gear Level 9,Gear Level 10,Gear Level 11,Gear Level 12
Mk 1 Nubian Security Scanner,3,1,1,"","",1,"","","","","","",""
Mk 1 Neuro-Saav Electrobinoculars,11,1,1,"","",1,"","","","","",8,""
Mk 1 BAW Armor Mod,44,1,2,"","","",1,"","","",32,8,""
Mk 1 BlasTech Weapon Mod,2,2,"","","","","","","","","","",""
Mk 1 Loronar Power Cell,1,1,"","","","","","","","","","",""
Mk 1 A/KT Stun Gun,2,"",1,1,"","","","","","","","",""
Mk 1 Merr-Sonn Shield Generator,2,"",1,1,"","","","","","","","",""
Mk 1 Chiewab Hypo Syringe Prototype,2,"",1,"","",1,"","","","","","",""
Mk 1 TaggeCo Holo Lens,1,"",1,"","","","","","","","","",""
Mk 1 CEC Fusion Furnace,24,"","",3,1,"","","","","",16,4,""
Mk 1 Sienar Holo Projector,2,"","",1,"",1,"","","","","","",""
Mk 1 Fabritech Data Pad,2,"","",1,"",1,"","","","","","",""
Mk 1 Czerka Stun Cuffs,2,"","","",1,1,"","","","","","",""
Mk 1 SoroSuub Keypad,3,"","","",1,"",2,"","","","","",""
Mk 1 Athakam Medpac Salvage,5,"","","","","",5,"","","","","",""
Mk 1 Chedak Comlink Salvage,10,"","","","","","","",10,"","","",""
Mk 1 Zaltin Bacta Gel Prototype Salvage,20,"","","","","","","","",20,"","",""
Mk 1 BioTech Implant,8,"","","","","","","","","","",8,""
Mk 2 TaggeCo Holo Lens,11,"",1,1,1,1,1,1,"",5,"","",""
Mk 2 Fabritech Data Pad,3,"",1,"","",1,"","","",1,"","",""
Mk 2 Merr-Sonn Shield Generator,1,"","",1,"","","","","","","","",""
Mk 2 Chiewab Hypo Syringe,22,"","","",1,"",1,"","","",16,4,""
Mk 2 CEC Fusion Furnace,2,"","","","",1,"","",1,"","","",""
Mk 2 BlasTech Weapon Mod,3,"","","","",1,"","",1,"",1,"",""
Mk 2 SoroSuub Keypad Prototype,21,"","","","","",1,"","","",16,4,""
