Item Name,Total,Gear Level 1,Gear Level 2,Gear Level 3,Gear Level 4,Gear Level 5,Gear Level 6,Gear Level 7,Gear Level 8,Gear Level 9,Gear Level 10,Gear Level 11,Gear Level 12
Mk 1 A/KT Stun Gun,1,1,"","","","","","","","","","",""
Mk 1 BlasTech Weapon Mod,2,2,"","","","","","","","","","",""
Mk 1 Nubian Security Scanner,6,2,"",3,1,"","","","","","","",""
Mk 1 Neuro-Saav Electrobinoculars,4,1,1,1,1,"","","","","","","",""
Mk 1 TaggeCo Holo Lens,1,"",1,"","","","","","","","","",""
Mk 1 BAW Armor Mod,23,"",2,"","",4,"","",16,"",1,"",""
Mk 1 Merr-Sonn Shield Generator,1,"",1,"","","","","","","","","",""
Mk 1 Czerka Stun Cuffs,8,"","",2,1,"","",2,2,1,"","",""
Mk 1 Arakyd Droid Caller,6,"","",2,"","",1,"",2,1,"","",""
Mk 1 Chiewab Hypo Syringe Prototype,2,"","",1,1,"","","","","","","",""
Mk 1 Chedak Comlink Salvage,25,"","",5,"","",5,"","",5,5,5,""
Mk 1 Athakam Medpac Salvage,5,"","","",5,"","","","","","","",""
Mk 1 CEC Fusion Furnace,14,"","","","",3,"","",8,"",3,"",""
Mk 1 SoroSuub Keypad,2,"","","","",1,1,"","","","","",""
Mk 1 Zaltin Bacta Gel Prototype Salvage,20,"","","","","","","",20,"","","",""
Mk 1 Sienar Holo Projector,2,"","","","","","","","",1,"",1,""
Mk 2 TaggeCo Holo Lens,14,"",2,"",1,2,1,1,4,1,1,1,""
Mk 2 SoroSuub Keypad Prototype,10,"","","","",2,"","",8,"","","",""
Mk 2 Chiewab Hypo Syringe,10,"","","","",2,"","",8,"","","",""
Mk 2 Neuro-Saav Electrobinoculars Prototype,11,"","","","",2,"","",8,"",1,"",""
Mk 2 Merr-Sonn Shield Generator,2,"","","","","",1,"","","",1,"",""
Mk 2 Sienar Holo Projector Prototype Salvage,10,"","","","","","",10,"","","","",""
Mk 2 CEC Fusion Furnace,1,"","","","","","","","",1,"","",""
Mk 2 Zaltin Bacta Gel Prototype Salvage,20,"","","","","","","","",20,"","",""
Mk 2 BlasTech Weapon Mod,2,"","","","","","","","","",1,1,""
Mk 3 TaggeCo Holo Lens Prototype,1,"",1,"","","","","","","","","",""
Mk 3 Loronar Power Cell,6,"",1,2,"","","","",2,1,"","",""
Mk 3 BAW Armor Mod,1,"","","",1,"","","","","","","",""
Mk 3 Chiewab Hypo Syringe Prototype Salvage,5,"","","","",5,"","","","","","",""
Mk 3 Arakyd Droid Caller Salvage,30,"","","","",5,5,20,"","","","",""
Mk 3 BioTech Implant,6,"","","","",1,"","","",2,2,1,""
Mk 3 BlasTech Weapon Mod,6,"","","","","",1,"","",3,1,1,""
Mk 3 Sienar Holo Projector Salvage,40,"","","","","","",40,"","","","",""
Mk 3 Carbanti Sensor Array Salvage,150,"","","","","","","",50,50,"",50,""
Mk 3 Czerka Stun Cuffs Salvage,400,"","","","","","","",50,100,150,100,""
Mk 3 Neuro-Saav Electrobinoculars,1,"","","","","","","","",1,"","",""
Mk 4 BlasTech Weapon Mod Prototype,1,"","",1,"","","","","","","","",""
Mk 4 Loronar Power Cell Prototype,2,"","",1,1,"","","","","","","",""
Mk 4 Fabritech Data Pad Prototype,4,"","","",1,2,"",1,"","","","",""
Mk 4 BAW Armor Mod Salvage,25,"","","",10,10,"",5,"","","","",""
Mk 4 BioTech Implant Prototype,1,"","","",1,"","","","","","","",""
Mk 4 SoroSuub Keypad Salvage,60,"","","","","",40,20,"","","","",""
Mk 4 Merr-Sonn Thermal Detonator Prototype Salvage,20,"","","","","",5,"","",5,5,5,""
Mk 4 CEC Fusion Furnace Prototype Salvage,20,"","","","","","","",20,"","","",""
Mk 4 Chedak Comlink Prototype Salvage,100,"","","","","","","","",50,50,"",""
Mk 4 Chiewab Hypo Syringe Prototype Salvage,20,"","","","","","","","",20,"","",""
Mk 4 Sienar Holo Projector Salvage,100,"","","","","","","","","",50,50,""
Mk 4 Nubian Security Scanner Prototype Salvage,10,"","","","","","","","","",5,5,""
Mk 4 A/KT Stun Gun Salvage,20,"","","","","","","","","","",20,""
Mk 4 Arakyd Droid Caller Salvage,20,"","","","","","","","","","",20,""
Mk 4 Zaltin Bacta Gel Salvage,50,"","","","","","","","","","",50,""
Mk 5 Neuro-Saav Electrobinoculars Salvage,55,"","",5,5,10,"",10,"",5,10,10,""
Mk 5 BlasTech Weapon Mod Prototype,10,"","","","",2,"","",8,"","","",""
Mk 5 Loronar Power Cell Salvage,30,"","","","",5,5,"",20,"","","",""
Mk 5 BioTech Implant Prototype,2,"","","","",1,1,"","","","","",""
Mk 5 SoroSuub Keypad Salvage,60,"","","","","",20,20,"","","",20,""
Mk 5 Arakyd Droid Caller Salvage,50,"","","","","","","",50,"","","",""
Mk 5 BAW Armor Mod Salvage,10,"","","","","","","","","",5,5,""
Mk 5 A/KT Stun Gun Prototype Salvage,50,"","","","","","","","","","",50,""
Mk 6 Fabritech Data Pad Salvage,5,"","","",5,"","","","","","","",""
Mk 6 Neuro-Saav Electrobinoculars Prototype Salvage,20,"","","","",5,"",5,"","",5,5,""
Mk 6 Merr-Sonn Thermal Detonator Salvage,100,"","","","","","","","","",50,50,""
Mk 6 BioTech Implant Prototype Salvage,20,"","","","","","","","","",20,"",""
MK 7 BlasTech Weapon Mod Prototype Salvage,5,"","","","","",5,"","","","","",""
